File: orderservice
Build ID: 487c9495939a70d53cff9154f72999aaf40499a6
Type: cpu
Time: 2026-04-05 16:44:04 CEST
Duration: 120.17s, Total samples = 36.02s (29.97%)
Showing nodes accounting for -21.60s, 59.97% of 36.02s total
Dropped 950 nodes (cum <= 0.18s)
      flat  flat%   sum%        cum   cum%
         0     0% 59.97%     -0.30s  0.83%  github.com/segmentio/kafka-go.(*Conn).writeRequest
         0     0% 59.97%     -0.67s  1.86%  github.com/segmentio/kafka-go.(*Generation).Start.func1
         0     0% 59.97%     -0.67s  1.86%  github.com/segmentio/kafka-go.(*Reader).commitLoop
         0     0% 59.97%     -0.67s  1.86%  github.com/segmentio/kafka-go.(*Reader).commitLoopImmediate
         0     0% 59.97%     -0.53s  1.47%  github.com/segmentio/kafka-go.(*Reader).commitOffsetsWithRetry
         0     0% 59.97%     -0.67s  1.86%  github.com/segmentio/kafka-go.(*Reader).run.func3
         0     0% 59.97%      0.94s  2.61%  github.com/segmentio/kafka-go.(*Reader).start.func1
         0     0% 59.97%      0.19s  0.53%  github.com/segmentio/kafka-go.(*Writer).WriteMessages
         0     0% 59.97%      0.27s  0.75%  github.com/segmentio/kafka-go.(*messageSetReader).readHeader
         0     0% 59.97%      0.27s  0.75%  github.com/segmentio/kafka-go.(*messageSetReader).readInt64 (inline)
         0     0% 59.97%     -0.14s  0.39%  github.com/segmentio/kafka-go.(*partitionWriter).newWriteBatch
         0     0% 59.97%      0.94s  2.61%  github.com/segmentio/kafka-go.(*reader).run
         0     0% 59.97%     -0.51s  1.42%  github.com/segmentio/kafka-go.(*timeoutCoordinator).offsetCommit
         0     0% 59.97%      0.25s  0.69%  github.com/segmentio/kafka-go.(*writeBatch).add
         0     0% 59.97%      0.25s  0.69%  github.com/segmentio/kafka-go.(*writeBuffer).Flush (inline)
         0     0% 59.97%      0.26s  0.72%  github.com/segmentio/kafka-go.(*writeBuffer).writeFetchRequestV10
         0     0% 59.97%      0.31s  0.86%  github.com/segmentio/kafka-go.newMessageSetReader
         0     0% 59.97%      0.27s  0.75%  github.com/segmentio/kafka-go.readInt64
         0     0% 59.97%     -0.15s  0.42%  gorm.io/driver/postgres.Dialector.Explain
         0     0% 59.97%     -0.53s  1.47%  gorm.io/gorm.(*DB).Commit
         0     0% 59.97%     -6.60s 18.32%  gorm.io/gorm.(*DB).Create
         0     0% 59.97%     -3.66s 10.16%  gorm.io/gorm.(*DB).Find
         0     0% 59.97%     -1.90s  5.27%  gorm.io/gorm.(*DB).First
         0     0% 59.97%     -9.59s 26.62%  gorm.io/gorm.(*DB).FirstOrCreate
         0     0% 59.97%     -0.23s  0.64%  gorm.io/gorm.(*Statement).WriteQuoted
         0     0% 59.97%     -4.63s 12.85%  gorm.io/gorm/callbacks.Query
         0     0% 59.97%     -0.15s  0.42%  gorm.io/gorm/logger.ExplainSQL
         0     0% 59.97%     -0.17s  0.47%  gorm.io/gorm/utils.FileWithLineNum
         0     0% 59.97%     -0.93s  2.58%  internal/poll.(*FD).Read
         0     0% 59.97%     -5.03s 13.96%  internal/poll.ignoringEINTRIO (inline)
         0     0% 59.97%     -0.22s  0.61%  internal/runtime/maps.NewEmptyMap (inline)
         0     0% 59.97%     -0.22s  0.61%  internal/runtime/maps.newGroups (inline)
         0     0% 59.97%     -0.22s  0.61%  internal/runtime/maps.newarray
         0     0% 59.97%     -0.16s  0.44%  internal/sync.(*HashTrieMap[go.shape.interface {},go.shape.interface {}]).Store (inline)
         0     0% 59.97%      0.14s  0.39%  internal/sync.(*Mutex).Lock (inline)
         0     0% 59.97%      0.14s  0.39%  internal/sync.(*Mutex).lockSlow
         0     0% 59.97%     -0.15s  0.42%  log.(*Logger).Printf
         0     0% 59.97%     -0.94s  2.61%  net.(*conn).Read
         0     0% 59.97%     -0.94s  2.61%  net.(*netFD).Read
         0     0% 59.97%     -5.17s 14.35%  orderservice/internal/kafka.EmulateMsgSending
         0     0% 59.97%     -4.63s 12.85%  orderservice/internal/mocks.GenerateMockOrder
         0     0% 59.97%     -1.74s  4.83%  orderservice/internal/mocks.init.0.func1
         0     0% 59.97%    -12.74s 35.37%  orderservice/internal/repository.(*orderRepository).AddNewOrder
         0     0% 59.97%      0.94s  2.61%  orderservice/internal/repository.(*orderRepository).AddNewOrdersBulk
         0     0% 59.97%      0.94s  2.61%  orderservice/internal/repository.(*orderRepository).AddNewOrdersBulk.func1
         0     0% 59.97%     -2.01s  5.58%  orderservice/internal/repository.(*orderRepository).GetOrderByUID
         0     0% 59.97%      1.54s  4.28%  orderservice/internal/service.(*orderService).AddNewOrdersBulk
         0     0% 59.97%     -2.01s  5.58%  orderservice/internal/service.(*orderService).GetOrderInfo
         0     0% 59.97%     -0.25s  0.69%  reflect.StructTag.Get (inline)
         0     0% 59.97%     -0.16s  0.44%  reflect.Value.Interface (inline)
         0     0% 59.97%     -0.16s  0.44%  regexp.(*Regexp).replaceAll
         0     0% 59.97%     -0.17s  0.47%  runtime.(*mspan).markBitsForIndex (inline)
         0     0% 59.97%     -0.17s  0.47%  runtime.(*unwinder).next
